kind,bucket,n,hit,avg,sharpe_like
lstm,p50,1469,0.0,-0.010853156447410583,-10315.870278195054
lstm,p70,1324,0.0,-0.010853041894733906,-11083.349424464126
lstm,p80,897,0.0,-0.010852886363863945,-13743.046939665559
lstm,p90,491,0.0,-0.010852912440896034,-13497.563332694705
lstm,p95,241,0.0,-0.01085289753973484,-14124.745523929809
tcn,p50,187,0.0,-0.1476132869720459,-104.09478880747363
tcn,p70,0,nan,nan,nan
tcn,p80,0,nan,nan,nan
tcn,p90,0,nan,nan,nan
tcn,p95,0,nan,nan,nan
tx,p50,548,0.7171532846715328,0.006753451656550169,0.5326353319334024
tx,p70,0,nan,nan,nan
tx,p80,0,nan,nan,nan
tx,p90,0,nan,nan,nan
tx,p95,0,nan,nan,nan
